141,0.0008,0.0008,0.0007,0.0008,0.0007,0.0007,0.0008,0.0007,0.0007,0.0007,0.0008,0.0007
144,0.0008,0.0008,0.0007,0.0008,0.0008,0.0008,0.0008,0.0007,0.0008,0.0008,0.0008,0.0007
147,0.0008,0.0008,0.0007,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0007
150,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
153,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0009,0.0008,0.0008,0.0008,0.0009,0.0008
156,0.0008,0.0009,0.0008,0.0008,0.0008,0.0008,0.0009,0.0008,0.0008,0.0008,0.0009,0.0008
159,0.0009,0.0009,0.0008,0.0009,0.0008,0.0008,0.0009,0.0008,0.0008,0.0008,0.0009,0.0008
162,0.0009,0.0009,0.0008,0.0009,0.0008,0.0009,0.0009,0.0008,0.0009,0.0009,0.0009,0.0008
165,0.0009,0.0009,0.0008,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0008
168,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.001,0.0009,0.0009,0.0009,0.001,0.0009
171,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.001,0.0009,0.0009,0.0009,0.001,0.0009
174,0.0009,0.001,0.0009,0.0009,0.0009,0.0009,0.001,0.0009,0.0009,0.001,0.001,0.0009
177,0.0009,0.001,0.0009,0.001,0.0009,0.001,0.001,0.0009,0.0009,0.001,0.001,0.0009
180,0.001,0.001,0.0009,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0011,0.0009
183,0.001,0.001,0.0009,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0011,0.0009
186,0.001,0.001,0.001,0.001,0.001,0.001,0.0011,0.001,0.001,0.0011,0.0011,0.001
189,0.001,0.001,0.001,0.001,0.001,0.001,0.0011,0.001,0.001,0.0011,0.0011,0.001
192,0.001,0.0011,0.001,0.001,0.001,0.0011,0.0011,0.001,0.001,0.0011,0.0012,0.001
195,0.001,0.0011,0.001,0.0011,0.001,0.0011,0.0011,0.0011,0.0011,0.0011,0.0012,0.001
198,0.0011,0.0011,0.001,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0012,0.0012,0.001
201,0.0011,0.0011,0.001,0.0011,0.0011,0.0011,0.0012,0.0011,0.0011,0.0012,0.0012,0.001
204,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0012,0.0011,0.0011,0.0012,0.0013,0.0011
207,0.0011,0.0012,0.0011,0.0011,0.0011,0.0012,0.0012,0.0012,0.0011,0.0013,0.0013,0.0011
210,0.0011,0.0012,0.0011,0.0012,0.0011,0.0012,0.0012,0.0012,0.0012,0.0013,0.0013,0.0011
213,0.0012,0.0012,0.0011,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0014,0.0014,0.0011
216,0.0012,0.0012,0.0011,0.0012,0.0012,0.0012,0.0013,0.0013,0.0012,0.0014,0.0014,0.0011
219,0.0012,0.0012,0.0011,0.0012,0.0012,0.0013,0.0013,0.0013,0.0012,0.0014,0.0015,0.0011
